,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2010-10-09,,Phoenix Coyotes,2,5,L,,0,1,0,L 1,,42,9,1,0,,37,13,1,0,at Prague CZ
2,2010-10-10,@,Phoenix Coyotes,3,0,W,,1,1,0,W 1,,37,6,0,0,,29,12,0,0,at Prague CZ
3,2010-10-16,@,New Jersey Devils,4,1,W,,2,1,0,W 2,,35,8,0,0,,32,6,0,0,
4,2010-10-19,@,Washington Capitals,3,1,W,,3,1,0,W 3,,21,20,0,0,,36,18,0,0,
5,2010-10-21,,Washington Capitals,4,1,W,,4,1,0,W 4,,34,8,3,0,,39,6,0,0,
6,2010-10-23,,New York Rangers,2,3,L,,4,2,0,L 1,,37,27,1,0,,30,37,1,0,
7,2010-10-28,,Toronto Maple Leafs,2,0,W,,5,2,0,W 1,,32,25,1,0,,20,11,0,0,
8,2010-10-30,@,Ottawa Senators,4,0,W,,6,2,0,W 2,,25,11,1,0,,29,11,0,0,
9,2010-11-03,@,Buffalo Sabres,5,2,W,,7,2,0,W 3,,26,21,0,2,,35,37,1,0,
10,2010-11-05,@,Washington Capitals,3,5,L,,7,3,0,L 1,,18,11,2,0,,39,11,0,1,
11,2010-11-06,,St. Louis Blues,1,2,L,SO,7,3,1,L 2,,34,30,0,0,,35,18,0,0,
12,2010-11-10,@,Pittsburgh Penguins,7,4,W,,8,3,1,W 1,,33,19,1,0,,46,21,1,0,
13,2010-11-11,,Montreal Canadiens,1,3,L,,8,4,1,L 1,,35,12,0,0,,41,10,2,0,
14,2010-11-13,,Ottawa Senators,0,2,L,,8,5,1,L 2,,31,16,0,0,,33,16,0,0,
15,2010-11-15,,New Jersey Devils,3,0,W,,9,5,1,W 1,,24,11,1,0,,28,19,0,0,
16,2010-11-17,@,New York Rangers,3,2,W,,10,5,1,W 2,,20,10,0,0,,36,4,1,0,
17,2010-11-18,,Florida Panthers,4,0,W,,11,5,1,W 3,,40,15,0,0,,41,9,0,0,
18,2010-11-20,,Los Angeles Kings,3,4,L,SO,11,5,2,L 1,,41,10,1,0,,26,10,0,0,
19,2010-11-22,@,Tampa Bay Lightning,1,3,L,,11,6,2,L 2,,27,4,0,0,,36,2,0,0,
20,2010-11-24,@,Florida Panthers,3,1,W,,12,6,2,W 1,,37,4,1,1,,32,8,0,0,
21,2010-11-26,,Carolina Hurricanes,0,3,L,,12,7,2,L 1,,37,6,0,0,,21,8,3,0,
22,2010-11-28,@,Atlanta Thrashers,1,4,L,,12,8,2,L 2,,41,20,0,0,,26,22,1,0,
23,2010-12-01,@,Philadelphia Flyers,3,0,W,,13,8,2,W 1,,32,15,1,0,,41,11,0,0,
24,2010-12-02,,Tampa Bay Lightning,8,1,W,,14,8,2,W 2,,32,2,1,0,,38,8,0,0,
25,2010-12-04,@,Toronto Maple Leafs,2,3,L,SO,14,8,3,L 1,,27,15,0,0,,40,11,1,0,
26,2010-12-07,,Buffalo Sabres,3,2,W,OT,15,8,3,W 1,,36,7,1,0,,30,15,0,0,
27,2010-12-09,,New York Islanders,5,2,W,,16,8,3,W 2,,37,16,2,1,,35,20,0,1,
28,2010-12-11,,Philadelphia Flyers,1,2,L,OT,16,8,4,L 1,,36,2,0,0,,33,17,0,0,
29,2010-12-15,@,Buffalo Sabres,2,3,L,,16,9,4,L 2,,34,16,1,0,,35,14,2,0,
30,2010-12-16,@,Montreal Canadiens,3,4,L,,16,10,4,L 3,,37,9,1,0,,41,13,0,0,
31,2010-12-18,,Washington Capitals,3,2,W,,17,10,4,W 1,,21,7,0,0,,41,5,0,0,
32,2010-12-20,,Anaheim Ducks,0,3,L,,17,11,4,L 1,,45,7,0,0,,25,9,0,1,
33,2010-12-23,,Atlanta Thrashers,4,1,W,,18,11,4,W 1,,36,66,1,1,,27,52,0,0,
34,2010-12-27,@,Florida Panthers,3,2,W,SO,19,11,4,W 2,,42,6,0,0,,34,4,0,0,
35,2010-12-28,@,Tampa Bay Lightning,4,3,W,,20,11,4,W 3,,29,14,2,0,,34,14,1,0,
36,2010-12-30,@,Atlanta Thrashers,2,3,L,SO,20,11,5,L 1,,44,12,0,0,,32,8,2,0,
37,2011-01-01,@,Buffalo Sabres,6,7,L,SO,20,11,6,L 2,,40,13,0,1,,35,9,1,0,
38,2011-01-03,@,Toronto Maple Leafs,2,1,W,,21,11,6,W 1,,33,4,0,0,,37,4,0,0,
39,2011-01-06,,Minnesota Wild,1,3,L,,21,12,6,L 1,,36,4,0,0,,34,8,1,0,
40,2011-01-08,@,Montreal Canadiens,2,3,L,OT,21,12,7,L 2,,29,21,0,0,,42,21,1,0,
41,2011-01-10,@,Pittsburgh Penguins,4,2,W,,22,12,7,W 1,,32,14,2,0,,25,12,1,0,
42,2011-01-11,,Ottawa Senators,6,0,W,,23,12,7,W 2,,39,21,0,0,,31,21,0,0,
43,2011-01-13,,Philadelphia Flyers,7,5,W,,24,12,7,W 3,,37,5,1,0,,35,15,0,0,
44,2011-01-15,,Pittsburgh Penguins,2,3,L,,24,13,7,L 1,,46,7,0,0,,36,13,0,0,
45,2011-01-17,,Carolina Hurricanes,7,0,W,,25,13,7,W 1,,38,25,2,0,,31,15,0,0,
46,2011-01-18,@,Carolina Hurricanes,3,2,W,,26,13,7,W 2,,28,10,2,0,,45,12,1,0,
47,2011-01-20,,Buffalo Sabres,2,4,L,,26,14,7,L 1,,40,6,0,0,,33,8,1,0,
48,2011-01-22,@,Colorado Avalanche,6,2,W,,27,14,7,W 1,,40,15,1,1,,34,23,0,0,
49,2011-01-24,@,Los Angeles Kings,0,2,L,,27,15,7,L 1,,34,11,0,0,,34,11,1,0,
50,2011-01-26,,Florida Panthers,2,1,W,,28,15,7,W 1,,35,2,0,0,,35,2,0,0,
51,2011-02-01,@,Carolina Hurricanes,3,2,W,,29,15,7,W 2,,33,13,0,0,,26,5,1,0,
52,2011-02-03,,Dallas Stars,6,3,W,,30,15,7,W 3,,35,51,0,0,,33,38,0,1,
53,2011-02-05,,San Jose Sharks,0,2,L,,30,16,7,L 1,,26,7,0,0,,18,13,1,0,
54,2011-02-09,,Montreal Canadiens,8,6,W,,31,16,7,W 1,,34,92,1,0,,33,90,4,0,
55,2011-02-11,,Detroit Red Wings,1,6,L,,31,17,7,L 1,,26,14,1,0,,34,6,2,0,
56,2011-02-13,@,Detroit Red Wings,2,4,L,,31,18,7,L 2,,25,6,1,0,,36,6,0,0,
57,2011-02-15,,Toronto Maple Leafs,3,4,L,,31,19,7,L 3,,35,6,1,0,,28,8,2,0,
58,2011-02-17,@,New York Islanders,6,3,W,,32,19,7,W 1,,34,7,1,0,,37,17,0,0,
59,2011-02-18,@,Ottawa Senators,4,2,W,,33,19,7,W 2,,33,6,1,0,,34,10,1,0,
60,2011-02-22,@,Calgary Flames,3,1,W,,34,19,7,W 3,,29,4,0,0,,29,4,1,0,
61,2011-02-26,@,Vancouver Canucks,3,1,W,,35,19,7,W 4,,25,6,0,0,,28,4,0,0,
62,2011-02-27,@,Edmonton Oilers,3,2,W,,36,19,7,W 5,,40,17,0,0,,17,19,0,0,
63,2011-03-01,@,Ottawa Senators,1,0,W,,37,19,7,W 6,,21,4,0,0,,33,4,0,0,
64,2011-03-03,,Tampa Bay Lightning,2,1,W,,38,19,7,W 7,,28,23,0,0,,28,21,0,0,
65,2011-03-05,,Pittsburgh Penguins,2,3,L,OT,38,19,8,L 1,,31,12,0,0,,39,12,0,0,
66,2011-03-08,@,Montreal Canadiens,1,4,L,,38,20,8,L 2,,31,28,0,0,,26,21,2,0,
67,2011-03-10,,Buffalo Sabres,3,4,L,OT,38,20,9,L 3,,29,31,0,0,,45,21,2,0,
68,2011-03-11,@,New York Islanders,2,4,L,,38,21,9,L 4,,28,6,1,0,,41,8,1,0,
69,2011-03-15,@,Columbus Blue Jackets,3,2,W,SO,39,21,9,W 1,,29,10,0,1,,36,2,0,0,
70,2011-03-17,@,Nashville Predators,3,4,L,OT,39,21,10,L 1,,38,8,0,0,,31,19,1,0,
71,2011-03-19,@,Toronto Maple Leafs,2,5,L,,39,22,10,L 2,,37,9,0,0,,29,9,0,0,
72,2011-03-22,,New Jersey Devils,4,1,W,,40,22,10,W 1,,30,4,1,0,,31,10,1,0,
73,2011-03-24,,Montreal Canadiens,7,0,W,,41,22,10,W 2,,41,17,1,1,,24,19,0,0,
74,2011-03-26,,New York Rangers,0,1,L,,41,23,10,L 1,,26,13,0,0,,23,7,0,0,
75,2011-03-27,@,Philadelphia Flyers,2,1,W,,42,23,10,W 1,,36,2,2,0,,28,6,0,0,
76,2011-03-29,,Chicago Blackhawks,3,0,W,,43,23,10,W 2,,34,4,0,0,,32,0,0,0,
77,2011-03-31,,Toronto Maple Leafs,3,4,L,SO,43,23,11,L 1,,38,17,0,1,,31,17,1,0,
78,2011-04-02,,Atlanta Thrashers,3,2,W,,44,23,11,W 1,,24,6,0,1,,30,2,1,0,
79,2011-04-04,@,New York Rangers,3,5,L,,44,24,11,L 1,,30,8,0,0,,26,2,0,0,
80,2011-04-06,,New York Islanders,3,2,W,,45,24,11,W 1,,33,6,0,0,,32,12,1,1,
81,2011-04-09,,Ottawa Senators,3,1,W,,46,24,11,W 2,,29,11,1,0,,32,13,0,0,
82,2011-04-10,@,New Jersey Devils,2,3,L,,46,25,11,L 1,,26,2,0,0,,32,4,0,0,
